Date,activeaddresses,exchangevolume(usd),fees,marketcap(usd),medianfee,mediantxvalue(usd),paymentcount,price(usd),txcount,txvolume(usd)
2013-01-02,6.0,,5e-05,,1e-05,,3.0,,5.0,
2013-01-03,8.0,,0.0001,,1e-05,,6.0,,10.0,
2013-01-04,9.0,,0.00016,,1e-05,,6.0,,16.0,
2013-01-05,11.0,,0.00018,,1e-05,,5.0,,18.0,
2013-01-06,7.0,,0.00023,,1e-05,,6.0,,23.0,
2013-01-07,8.0,,0.00013,,1e-05,,3.0,,13.0,
2013-01-08,15.0,,0.00068,,1e-05,,15.0,,68.0,
2013-01-09,20.0,,0.00032,,1e-05,,14.0,,32.0,
2013-01-10,24.0,,0.0007,,1e-05,,23.0,,70.0,
2013-01-11,14.0,,0.00019,,1e-05,,5.0,,19.0,
2013-01-12,7.0,,0.00023,,1e-05,,6.0,,23.0,
2013-01-13,6.0,,0.00025,,1e-05,,10.0,,25.0,
2013-01-14,10.0,,0.00014,,1e-05,,4.0,,14.0,
2013-01-15,22.0,,0.00067,,1e-05,,15.0,,67.0,
2013-01-16,21.0,,0.00062,,1e-05,,20.0,,62.0,
2013-01-17,19.0,,0.00088,,1e-05,,28.0,,88.0,
2013-01-18,21.0,,0.0008,,1e-05,,13.0,,80.0,
2013-01-19,14.0,,0.00032,,1e-05,,6.0,,32.0,
2013-01-20,6.0,,0.00014,,1e-05,,3.0,,14.0,
2013-01-21,12.0,,0.00029,,1e-05,,4.0,,29.0,
2013-01-22,26.0,,0.00047,,1e-05,,17.0,,47.0,
2013-01-23,26.0,,0.00098,,1e-05,,12.0,,98.0,
2013-01-24,18.0,,0.00041,,1e-05,,9.0,,41.0,
2013-01-25,19.0,,0.00038,,1e-05,,13.0,,38.0,
2013-01-26,34.0,,0.00043,,1e-05,,29.0,,43.0,
2013-01-27,15.0,,0.00029,,1e-05,,8.0,,29.0,
2013-01-28,13.0,,0.00028,,1e-05,,8.0,,28.0,
2013-01-29,12.0,,0.0006,,1e-05,,5.0,,60.0,
2013-01-30,19.0,,0.00052,,1e-05,,16.0,,52.0,
2013-01-31,23.0,,0.00045,,1e-05,,14.0,,45.0,
2013-02-01,14.0,,0.00021,,1e-05,,3.0,,21.0,
2013-02-02,8.0,,0.00039,,1e-05,,6.0,,39.0,
2013-02-03,4.0,,6e-05,,1e-05,,3.0,,6.0,
2013-02-04,10.0,,5e-05,,1e-05,,4.0,,5.0,
2013-02-05,8.0,,0.00014,,1e-05,,3.0,,14.0,
2013-02-06,17.0,,0.00015,,1e-05,,14.0,,15.0,
2013-02-07,31.0,,0.00057,,1e-05,,25.0,,57.0,
2013-02-08,45.0,,0.00073,,1e-05,,36.0,,73.0,
2013-02-09,31.0,,0.00086,,1e-05,,30.0,,86.0,
2013-02-10,45.0,,0.00254,,1e-05,,32.0,,254.0,
2013-02-11,51.0,,0.0023,,1e-05,,72.0,,230.0,
2013-02-12,62.0,,0.00377,,1e-05,,65.0,,377.0,
2013-02-13,33.0,,0.00212,,1e-05,,16.0,,212.0,
2013-02-14,31.0,,0.00658,,1e-05,,19.0,,658.0,
2013-02-15,44.0,,0.00297,,1e-05,,32.0,,297.0,
2013-02-16,41.0,,0.00236,,1e-05,,16.0,,236.0,
2013-02-17,19.0,,0.00278,,1e-05,,4.0,,278.0,
2013-02-18,25.0,,0.00077,,1e-05,,24.0,,77.0,
2013-02-19,19.0,,0.00249,,1e-05,,24.0,,249.0,
2013-02-20,62.0,,0.00208,,1e-05,,74.0,,208.0,
2013-02-21,318.0,,0.00926,,1e-05,,346.0,,926.0,
2013-02-22,91.0,,0.01262,,1e-05,,64.0,,1262.0,
2013-02-23,314.0,,0.01736,,1e-05,,420.0,,1736.0,
2013-02-24,99.0,,0.00695,,1e-05,,141.0,,695.0,
2013-02-25,230.0,,0.00566,,1e-05,,191.0,,566.0,
