,activeaddresses,adjustedtxvolume(usd),averagedifficulty,blockcount,blocksize,exchangevolume(usd),fees,generatedcoins,marketcap(usd),medianfee,mediantxvalue(usd),paymentcount,price(usd),txcount,txvolume(usd)
2014-10-09,18,,6.22295523108,629,168899,,0.0,125800000.0,,,,,,0,
2014-10-10,1121,,117.637264131,1414,885731,,115.0,282800000.0,,0.1,,3139.0,,1036,
2014-10-11,2340,,70.3686732343,1399,1259153,,242.130623,279800000.0,,0.1,,4906.0,,2206,
2014-10-12,1817,,74.7589184166,1411,1109243,,189.228694,282200000.0,,0.1,,3745.0,,1704,
2014-10-13,2335,,69.1296631403,1362,1249256,,236.422078,272400000.0,,0.1,,5281.0,,2203,
2014-10-14,2439,,53.7359414068,1429,1231757,,242.206172,285800000.0,,0.1,,5431.0,,2313,
2014-10-15,2968,,55.388075387,1399,1510221,,312.449054,279800000.0,,0.1,,5478.0,,2826,
2014-10-16,3004,,38.8537762828,1413,1376114,,298.761627,282600000.0,,0.1,,5440.0,,2856,
2014-10-17,3209,,45.0588084627,1424,1367866,,318.510333,284800000.0,,0.1,,4558.0,,3077,
2014-10-18,2486,,38.3104246209,1386,1204366,,248.660947,277200000.0,,0.1,,4070.0,,2381,
2014-10-19,3037,,23.7442743618,1400,1276988,,294.462238,213400000.0,,0.1,,4275.0,,2900,
2014-10-20,2511,,24.3161455023,1329,1212502,,250.960834,132900000.0,,0.1,,3794.0,,2373,
2014-10-21,1249,,30.3258680825,1289,905563,,122.237274,128900000.0,,0.1,,2044.0,,1068,
2014-10-22,1245,,118.942737386,942,1939259,,245.913407,94200000.0,,0.1,,2252.0,,1024,
2014-10-23,1120,,128.328363088,967,826541,,121.521524,96700000.0,,0.1,,2542.0,,1006,
2014-10-24,1329,,73.6273803289,1094,1052635,,157.6187,109400000.0,,0.1,,2754.0,,1224,
2014-10-25,839,1938.04275827,108.158714165,730,706691,707.0,99.338301,73000000.0,24391.0,0.1,0.6999993,1181.0,7e-06,737,2085.46078917
2014-10-26,723,1688.96936456,125.254155827,709,535907,2234.0,72.673717,70900000.0,25962.3636364,0.1,0.6999993,1165.0,7e-06,599,1765.42353189
2014-10-27,754,5118.13295392,153.249372416,761,730094,2857.0,92.68777001,76100000.0,41428.2,0.1,1.0999989,1016.0,1.1e-05,607,5742.12356445
2014-10-28,1245,3008.48613034,129.263816668,751,584196,2185.0,121.731987,75100000.0,38912.5,0.1,0.82933583278,1038.0,1e-05,1179,3962.608187
2014-10-29,1261,1151.12692723,117.85287103,761,617625,1221.0,123.411069,76100000.0,14991.4285714,0.1,0.32083298325,1023.0,4e-06,1154,1294.73384144
2014-10-30,1066,1358.86195821,92.3114104879,931,763653,1116.0,119.974336,93100000.0,25934.0,0.1,0.594401468657,881.0,7e-06,999,1554.02360383
2014-10-31,1627,1614.68475477,75.0878774236,902,728700,1444.0,158.193491,90200000.0,25113.0,0.1,0.536029429723,1429.0,7e-06,1548,2102.87923396
2014-11-01,1536,2100.41082085,77.2635783355,887,798561,269.0,163.79750599,88700000.0,26859.0,0.1,0.475576565068,1368.0,7e-06,1504,2418.38113205
2014-11-02,1735,808.55182833,68.0913770392,891,780912,295.0,174.597362,89100000.0,14495.2,0.1,0.309848050464,1545.0,4e-06,1673,1036.81889307
2014-11-03,1747,1012.16931549,68.0691585679,874,777656,286.0,172.754062,63200000.0,17372.5,0.1,0.22650543425,1606.0,5e-06,1649,1214.84916776
2014-11-04,1858,1264.08992873,45.0355868073,879,776992,551.0,186.149323,43950000.0,14017.6,0.1,0.136800127,1645.0,4e-06,1777,1401.11671009
2014-11-05,2494,370.140444702,47.9341764073,1007,1003157,1592.0,256.355301,50350000.0,17640.0,0.1,0.162916757438,2353.0,5e-06,2478,615.121476893
2014-11-06,2000,398.021529824,47.8264952127,905,888134,203.0,211.922852,45250000.0,13566.0,0.1,0.13513455289,1857.0,4e-06,1998,543.184027069
2014-11-07,1788,348.234062345,51.557116261,855,777327,101.0,184.632087,42750000.0,14854.0,0.1,0.132280031788,1614.0,4e-06,1761,463.883544576
2014-11-08,1580,1848.79089564,38.2139750621,896,849579,1707.0,165.727712,44800000.0,15565.0,0.1,0.134800307404,1380.0,4e-06,1461,1966.63234664
2014-11-09,2017,1271.2903763,38.1389478661,1027,988958,538.0,207.771457,51350000.0,14298.6666667,0.1,0.122155978856,1823.0,4e-06,1907,1398.73352183
2014-11-10,3111,473.189884721,27.513201801,1221,1223367,147.0,309.031122,61050000.0,22216.5,0.1,0.190686224418,2949.0,6e-06,3016,834.864738077
2014-11-11,2257,511.780244449,32.0207355542,971,1041960,134.0,233.62159,48550000.0,14450.0,0.1,0.12418519652,2076.0,4e-06,2150,697.377203724
2014-11-12,2055,690.244088557,35.1864966972,923,941430,102.0,213.344176,46150000.0,15916.0,0.1,0.119791633668,1916.0,4e-06,1987,842.389922812
2014-11-13,2638,608.559998339,25.173901512,1149,1235658,214.0,271.338584,57450000.0,15728.0,0.1,0.130607101438,2445.0,4e-06,2470,837.782450278
2014-11-14,2610,462.675917136,26.0531696323,1168,1094444,101.0,257.564312,58400000.0,14569.0,0.1,0.125622346176,2479.0,4e-06,2503,660.444099507
2014-11-15,2766,469.197913982,33.4627099677,1073,1129424,171.0,276.239175,53650000.0,14997.0,0.1,0.120398103076,2607.0,4e-06,2637,678.57729912
2014-11-16,2203,290.641680586,41.1651363294,919,920248,160.0,221.510948,45950000.0,15555.2,0.1,0.136611192144,2069.0,4e-06,2115,462.610910772
2014-11-17,2175,634.338118714,38.2505703204,968,904784,235.0,216.405204,37275000.0,17981.25,0.1,0.109171853175,2035.0,5e-06,2080,838.257819657
2014-11-18,2373,206.887901124,21.3772216132,1138,956021,174.0,230.850645,28450000.0,13953.0,0.1,0.060570984684,2306.0,4e-06,2263,292.849840225
2014-11-19,1760,656.72784311,30.1144513378,992,902145,492.0,190.62322,24800000.0,14192.0,0.1,0.06473623064,1625.0,4e-06,1711,719.882078842
2014-11-20,1576,413.191000815,32.9762340564,904,1251073,366.0,229.671081,22600000.0,13302.0,0.1,0.060772259508,1468.0,4e-06,1561,465.653245029
2014-11-21,1588,228.6306839,33.2141202181,861,964989,87.0,188.315543,21525000.0,13182.0,0.1,0.059311311018,1488.0,4e-06,1580,282.065949684
2014-11-22,1488,147.28441513,29.7871001571,917,783409,37.0,157.564748,22925000.0,13385.0,0.1,0.05560213648,1389.0,4e-06,1456,189.331252111
2014-11-23,2400,225.729287231,16.4075960141,1259,1040951,66.0,232.824872,31475000.0,13145.0,0.1,0.053368734532,2629.0,4e-06,2291,301.055387184
2014-11-24,2787,273.87870888,11.6852454005,1429,1196029,143.0,268.802709,35725000.0,13890.0,0.1,0.054889921528,2642.0,4e-06,2655,371.006574782
2014-11-25,2806,163.640283452,9.91905626211,1490,1386706,22.0,292.448116,37250000.0,14372.0,0.1,0.054788197508,2715.0,4e-06,2714,255.032881786
2014-11-26,3200,175.157182701,10.785484583,1394,1305985,16.0,314.137346,34850000.0,10027.0,0.1,0.04387264002,3148.0,3e-06,3091,263.378817114
2014-11-27,1972,209.748585828,14.3329442257,1076,856197,134.0,187.926649,26900000.0,10285.5,0.1,0.038982301005,1887.0,3e-06,1853,253.459255153
2014-11-28,2980,161.245203946,11.0212427072,1524,1266597,9.0,292.632057,38100000.0,13964.0,0.1,0.064602658758,3213.0,4e-06,2882,268.063226354
2014-11-29,1385,190.932902268,20.3632559305,970,739364,75.0,140.453816,24250000.0,13568.0,0.1,0.054323264036,1480.0,4e-06,1326,227.802371086
2014-11-30,1523,282.649750654,16.87455304,1029,730832,59.0,145.281372,25725000.0,14039.0,0.1,0.044174064712,1599.0,4e-06,1413,317.375034671
2014-12-01,1126,161.7370812,33.7500428022,857,581507,119.0,104.257503,21425000.0,13616.0,0.1,0.06542161002,1363.0,4e-06,1006,191.348227275
2014-12-02,1351,422.59659117,27.1663563678,918,704164,131.0,132.107188,22950000.0,24787.5,0.1,0.116694137202,1454.0,6e-06,1207,478.432429398
2014-12-03,947,96.2343298296,35.9921814091,722,485770,46.0,89.973412,18050000.0,14188.0,0.1,0.050739047886,991.0,4e-06,868,111.227844545
2014-12-04,1289,678.167810008,27.6019246359,879,647172,377.0,120.902036,21975000.0,17334.0,0.1,0.06422785858,1491.0,5e-06,1125,730.51818998
2014-12-05,989,556.839801486,36.9277887001,669,545017,22.0,98.250405,16725000.0,16938.0,0.1,0.0614579852125,1000.0,5e-06,868,631.451234216
2014-12-06,1011,840.826948756,37.0875770559,764,989315,48.0,3610.53295,19100000.0,17383.75,0.1,0.056417598535,1101.0,5e-06,902,1413.00595981
2014-12-07,649,179.198579217,44.6525088304,565,394402,98.0,66.171339,14125000.0,14816.0,0.1,0.055151983664,598.0,4e-06,597,201.56611696
2014-12-08,679,327.435636005,36.691665403,680,429422,54.0,69.012801,17000000.0,20472.0,0.1,0.115173348276,642.0,6e-06,641,399.130773545
2014-12-09,786,491.977137032,43.8182283394,694,448269,39.0,75.557224,17350000.0,16009.6,0.1,0.059218770828,702.0,4e-06,723,504.390488163
2014-12-10,591,697.349822483,49.1439951816,604,357510,86.0,55.446646,15100000.0,18624.1666667,0.1,0.0790622563325,520.0,5e-06,536,709.192077372
2014-12-11,777,210.499964692,42.6874260841,676,495109,63.0,82.500007,16900000.0,19657.5,0.1,0.077069050545,702.0,6e-06,746,233.298255018
2014-12-12,788,352.527527456,36.5660607511,778,465234,208.0,79.146545,19450000.0,13099.0,0.1,0.038651448184,692.0,4e-06,765,366.021400188
2014-12-13,856,957.883942411,31.3118021846,758,463545,119.0,81.58310099,18950000.0,13602.0,0.1,0.048930498206,741.0,4e-06,806,976.839163182
2014-12-14,1247,576.582287544,26.4676180568,997,1059234,408.0,172.762815,24925000.0,13303.0,0.1,0.035968189972,1085.0,4e-06,1165,603.640324867
