,activeaddresses,adjustedtxvolume(usd),averagedifficulty,blockcount,blocksize,exchangevolume(usd),fees,generatedcoins,marketcap(usd),medianfee,mediantxvalue(usd),paymentcount,price(usd),txcount,txvolume(usd)
2016-10-28,964,,3089.31104813,629,1677725,,0.0387728,123.02365136,,0.0001,,880,,406,
2016-10-29,8245,1149505.17714,28788.9746053,608,5464079,2532790.0,0.25014267,349.73217668,2044703.10381,1.16e-05,767.880172593,8567,4293.37,5366,8233044.74895
2016-10-30,12549,1072394.66181,49127.0737707,586,5706404,1009210.0,0.2590202,554.91290726,2093165.16955,1.159e-05,737.577000979,20764,2014.38,7198,8473726.45377
2016-10-31,13352,497275.96008,52372.6807118,586,5941939,4333820.0,0.25981363,767.92263534,1033211.87356,1.159e-05,428.564952609,31110,570.91,5830,4866266.25959
2016-11-01,15724,1564742.08739,73176.4627571,581,5741042,4802060.0,0.30023121,972.24066653,4464784.52832,1.159e-05,1254.82556709,35890,1599.72,5588,11592612.4611
2016-11-02,19183,1655775.227,88350.6341474,572,6554648,3936160.0,0.41087831,1165.93871891,5257220.94282,4.407e-05,1248.54285367,46342,1326.29,6922,11768232.0893
2016-11-03,20269,1281576.26824,102690.4441,572,6343244,2783300.0,0.55510851,1369.4076097,5017614.19298,8.708e-05,857.092583974,53458,940.66,6844,10083564.8869
2016-11-04,21782,1426989.75013,125429.544687,586,7729436,2469390.0,0.33327751,1613.23521831,6170747.83559,1.159e-05,796.174254143,67212,887.66,7208,7872807.43287
2016-11-05,19099,1132841.41265,163863.301828,579,8446351,1984150.0,0.3127255,1799.58306901,5257719.22802,0.0001,182.917526818,91492,599.52,3925,2928623.06509
2016-11-06,18802,1301002.5384,182194.161948,571,8687900,2390590.0,0.33259283,1987.56421187,5428943.96028,0.0001,51.1684029675,99627,504.27,3185,2513930.44254
2016-11-07,19570,949781.96835,163844.000224,578,8540973,1808930.0,0.31756121,2216.52474988,4144363.13334,0.0001,213.675578964,98557,319.23,3730,3517578.8349
2016-11-08,17642,735333.440052,167121.69529,571,6863417,2578200.0,0.25680038,2400.65442837,3593588.83929,0.0001,93.506447725,86765,233.78,3024,1459869.25512
2016-11-09,17840,1274044.78614,175698.668923,565,6949921,3706020.0,0.27552544,2573.9037788,5959557.47046,0.0001,126.611555836,86745,331.69,2857,2609039.81376
2016-11-10,17171,819439.829407,213352.563567,575,6171240,1255400.0,0.21644517,2823.0773086,5296296.49582,0.0001,136.466990663,84839,254.94,2436,2084341.09864
2016-11-11,17736,886738.089756,225900.276117,585,7249503,1173130.0,0.249479,3083.92528028,5367304.54516,0.0001,146.599951921,106292,224.67,2466,1678838.98172
2016-11-12,19210,821177.215676,250962.758404,567,10289442,1167540.0,0.56442918,3188.85176279,4954600.70141,0.0001,173.071556237,92425,183.02,2443,1507409.29727
2016-11-13,20055,711700.144237,224999.764731,581,14444430,1401920.0,0.97531374,3479.2897819,4377352.54469,0.0001,197.349835985,94365,143.17,2588,1255988.16676
2016-11-14,18849,623492.221317,307449.184019,578,10785350,1418260.0,0.62686131,3670.65031568,4024741.05073,0.0001,172.985302232,92446,117.55,2699,1284628.79871
2016-11-15,18263,588292.678857,326567.155041,587,11216776,2030660.0,0.61395575,3946.53296927,4007602.70304,0.0001,133.61799555,101681,105.15,2505,1014924.39979
2016-11-16,20155,713577.658336,421672.143412,560,18107736,1443840.0,1.33309286,3966.81233667,4623487.19907,0.0001,222.015098991,99314,109.71,2426,1211510.79234
2016-11-17,23261,753519.655922,421750.682866,590,51471731,915597.0,4.63911205,4389.0324272,4537601.68097,0.0001,209.469568518,103241,97.48,3226,1145928.03285
2016-11-18,22924,801223.986316,410822.906144,561,51288378,1032890.0,4.68496121,4376.17352498,4447827.9169,0.0001,208.458860065,101377,87.33,3087,1249188.77849
2016-11-19,21917,622124.387779,418313.121573,576,40638308,822655.0,3.5167761,4697.13650032,3957187.16225,0.0001,185.609904116,107344,71.12,2926,965556.981862
2016-11-20,20068,538598.422963,499569.818967,571,30017486,598211.0,2.41914155,4857.40378517,3950024.41745,0.0001,185.083305256,112182,65.29,2623,866115.944356
2016-11-21,14491,390590.714752,446685.760074,581,8350678,711312.0,0.25070414,5158.88574908,3936512.74491,0.0001,95.9522413652,116236,59.96,2065,696086.40306
2016-11-22,15300,410881.296685,451780.497652,565,8290745,1326320.0,0.22120643,5215.44288115,3827784.77997,0.0001,102.192871902,107342,54.01,2014,690352.823687
2016-11-23,15861,543904.387926,496627.02359,583,9049006,2391080.0,0.23750097,5592.63590798,4400145.22744,0.0001,68.0879894058,126057,57.54,2208,837241.795247
2016-11-24,17158,737886.382266,621193.72806,588,9587248,4090150.0,0.2835849,5855.74328202,6454766.40467,0.0001,141.572284795,137419,78.43,2570,1199613.33861
