Date,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2018-01-12,4.0,,,,,3.0,
2018-01-13,,,,,,,
2018-01-14,,,,,,,
2018-01-15,,,,,,,
2018-01-16,,,,,,,
2018-01-17,,,,,,,
2018-01-18,,,,,,,
2018-01-19,,,,,,,
2018-01-20,,,,,,,
2018-01-21,,,,,,,
2018-01-22,,,,,,,
2018-01-23,,,,,,,
2018-01-24,798.0,,,,,796.0,
2018-01-25,2823.0,4921770.0,0.0,4611.67035599,0.136822,4240.0,861853298.616
2018-01-26,2433.0,13714100.0,0.0,2739.430995,0.135555,3138.0,341511516.571
2018-01-27,1065.0,7967360.0,0.0,2363.14,0.118157,1236.0,85613263.1112
2018-01-28,785.0,20910700.0,0.0,1439.96984132,0.101224,902.0,21526434.858
2018-01-29,791.0,12441600.0,0.0,1208.97316775,0.097167,873.0,35329527.8705
2018-01-30,677.0,7572320.0,0.0,512.2959,0.089484,737.0,20575659.2269
2018-01-31,510.0,17593500.0,491529333.701,814.80685,0.075515,569.0,23837826.7677
2018-02-01,659.0,17695000.0,518849508.466,1131.25045275,0.079713,716.0,12510317.5927
2018-02-02,949.0,10075100.0,458471674.27,678.446964626,0.070437,1030.0,16663052.3086
2018-02-03,763.0,12201700.0,468534693.496,718.354949661,0.071983,812.0,15423500.2545
2018-02-04,598.0,10996500.0,506160911.627,777.63,0.077763,660.0,9380791.41969
2018-02-05,623.0,7822880.0,395670727.109,633.79483622,0.060788,709.0,8383524.03432
2018-02-06,702.0,9636530.0,329470844.91,575.12576544,0.050618,816.0,9138509.33537
2018-02-07,643.0,9181470.0,380579834.444,584.7,0.05847,765.0,7524321.09604
2018-02-08,404.0,13729000.0,350399546.14,701.019418819,0.053833,457.0,4352748.46035
2018-02-09,467.0,12234200.0,383150954.435,882.975,0.058865,564.0,3626967.69862
2018-02-10,697.0,15163400.0,391255281.399,1153.41504348,0.06011,892.0,22918858.3033
2018-02-11,527.0,11548100.0,329051487.551,700.462368,0.050553,667.0,5818232.62316
2018-02-12,463.0,9872650.0,330282683.704,633.599963513,0.050725,536.0,6856062.09637
