,activeaddresses,exchangevolume(usd),marketcap(usd),mediantxvalue(usd),price(usd),txcount,txvolume(usd)
2017-08-11,14.0,,,,,13.0,
2017-08-12,,,,,,,
2017-08-13,,,,,,,
2017-08-14,3.0,,,,,2.0,
2017-08-15,9305.0,,,,,22670.0,
2017-08-16,8682.0,5232600.0,67035000.0,2203.217,0.111725,21019.0,66576604.7876
2017-08-17,6083.0,2752410.0,133813200.0,1115.11,0.223022,9884.0,36908835.9359
2017-08-18,6071.0,12793800.0,123334800.0,1027.79,0.205558,9497.0,30126009.1337
2017-08-19,7160.0,52677500.0,176746800.0,1089.9386,0.294578,14077.0,62071814.6943
2017-08-20,2605.0,16016500.0,282777600.0,1013.86528605,0.471296,4066.0,40798122.5042
2017-08-21,2303.0,15013800.0,211136500.0,1201.14702514,0.422273,3265.0,16982698.0683
2017-08-22,1834.0,8045240.0,175773500.0,949.1769,0.351547,2618.0,13345344.3276
2017-08-23,2012.0,8663860.0,182005000.0,728.02,0.36401,3187.0,9975105.03373
2017-08-24,1630.0,6227850.0,191352500.0,882.135025,0.382705,2491.0,8334755.66247
2017-08-25,1573.0,6146620.0,193715500.0,1139.56784726,0.387431,2512.0,10038251.2802
2017-08-26,1957.0,10377400.0,181011000.0,1448.088,0.362022,2910.0,15027281.59
2017-08-27,1189.0,4536030.0,177403000.0,708.90061397,0.354806,1616.0,4678151.64426
2017-08-28,1391.0,6639910.0,176229500.0,793.03275,0.352459,2465.0,7226566.26111
2017-08-29,1493.0,6321130.0,170550500.0,776.686977,0.341101,2257.0,8279717.71153
2017-08-30,1878.0,5733410.0,180553000.0,1079.97018627,0.361106,2763.0,9123214.55742
2017-08-31,1659.0,6919520.0,165485000.0,662.126501595,0.33097,2332.0,7911870.63478
2017-09-01,1869.0,9229510.0,186388500.0,869.637484163,0.372777,2675.0,9158008.57008
2017-09-02,1250.0,6092920.0,192270000.0,1170.75098446,0.38454,1967.0,5806567.05386
2017-09-03,1144.0,4038540.0,153759000.0,956.271196074,0.307518,1614.0,4461576.38903
2017-09-04,2073.0,10708700.0,142958500.0,1237.52800274,0.285917,3301.0,14395639.6882
2017-09-05,1476.0,5406050.0,118242000.0,728.127409552,0.236484,2048.0,5801687.01515
2017-09-06,1299.0,3987820.0,118267500.0,610.461941425,0.236535,1780.0,4396939.94413
2017-09-07,1562.0,8513980.0,128225000.0,269.457144,0.25645,3482.0,6284687.1532
2017-09-08,1334.0,5590490.0,154852500.0,725.245352146,0.309705,1924.0,6291489.24622
2017-09-09,959.0,1972250.0,129211000.0,505.487370952,0.258422,1308.0,2740598.43371
2017-09-10,829.0,2159810.0,129062000.0,529.928572096,0.258124,1191.0,2514098.75435
2017-09-11,1454.0,4856890.0,123419500.0,789.8848,0.246839,2057.0,4206320.57621
2017-09-12,1341.0,3791170.0,137702500.0,633.706053883,0.275405,1690.0,4153391.88606
2017-09-13,973.0,3405890.0,128515500.0,790.282455717,0.257031,1397.0,4176646.81547
2017-09-14,1076.0,3056000.0,111704000.0,760.940537464,0.223408,1601.0,4165636.8739
2017-09-15,1212.0,3595670.0,88223500.0,615.381144925,0.176447,1646.0,3161955.83532
2017-09-16,793.0,1383050.0,104408000.0,506.467255057,0.208816,988.0,2101935.45892
2017-09-17,578.0,986802.0,104930000.0,419.774454972,0.20986,721.0,1408165.14838
2017-09-18,948.0,1865790.0,104110000.0,430.012990685,0.20822,1162.0,2294823.5193
2017-09-19,943.0,2320980.0,115531500.0,658.184326781,0.231063,1241.0,2641988.45981
2017-09-20,686.0,1849880.0,101721500.0,726.681305561,0.203443,916.0,2559238.11765
2017-09-21,640.0,1657700.0,100145000.0,340.493,0.20029,769.0,1426358.87417
2017-09-22,524.0,1561690.0,88481000.0,319.593372,0.176962,717.0,1018624.62289
2017-09-23,459.0,931322.0,91321500.0,237.744018741,0.182643,582.0,1036043.82115
2017-09-24,524.0,1091020.0,93919000.0,474.994647499,0.187838,613.0,1395247.81521
2017-09-25,647.0,1820160.0,88668000.0,572.602161096,0.177336,858.0,1555777.31626
2017-09-26,664.0,1508980.0,97542500.0,514.043235599,0.195085,815.0,1711015.8822
2017-09-27,841.0,2398430.0,97874000.0,420.935207919,0.195748,1083.0,1566585.54517
2017-09-28,731.0,1822680.0,115724000.0,411.003435536,0.231448,907.0,1984507.3178
2017-09-29,510.0,1278350.0,108315500.0,389.433492852,0.216631,584.0,1202359.57004
2017-09-30,554.0,1214660.0,105401000.0,484.33656718,0.210802,655.0,1418966.60764
2017-10-01,582.0,1439060.0,109004500.0,386.251054366,0.218009,748.0,1950901.66253
2017-10-02,590.0,1622300.0,106877000.0,323.881811223,0.213754,744.0,1372539.97707
2017-10-03,605.0,1387310.0,101287500.0,526.695,0.202575,689.0,1538296.53611
